Date,Open,High,Low,Close,Adj_Close,Volume,Coin_name
2019-04-29,0.004418,0.004492,0.003471,0.003471,0.003471,8267044,Polygon
2019-04-30,0.003462,0.005078,0.003458,0.004478,0.004478,25072706,Polygon
2019-05-01,0.00444,0.004673,0.004071,0.004374,0.004374,10567352,Polygon
2019-05-02,0.004366,0.0047,0.004096,0.004198,0.004198,6714908,Polygon
2019-05-03,0.004192,0.004396,0.003952,0.004256,0.004256,5702394,Polygon
2019-05-04,0.004256,0.004265,0.003819,0.003968,0.003968,3178995,Polygon
2019-05-05,0.003969,0.004065,0.003578,0.003747,0.003747,3467564,Polygon
2019-05-06,0.003746,0.003932,0.003523,0.003769,0.003769,4689162,Polygon
2019-05-07,0.003768,0.003851,0.00335,0.003364,0.003364,3805657,Polygon
2019-05-08,0.003343,0.003482,0.00326,0.003352,0.003352,2938835,Polygon
2019-05-09,0.003351,0.00338,0.003012,0.003141,0.003141,4588498,Polygon
2019-05-10,0.003143,0.00389,0.003099,0.00377,0.00377,8654899,Polygon
2019-05-11,0.003775,0.004944,0.003732,0.004608,0.004608,13370479,Polygon
2019-05-12,0.004619,0.005704,0.004443,0.005273,0.005273,17955639,Polygon
2019-05-13,0.005273,0.009172,0.005125,0.008667,0.008667,74304041,Polygon
2019-05-14,0.008548,0.011146,0.007257,0.007753,0.007753,98051040,Polygon
2019-05-15,0.007731,0.010022,0.007102,0.009512,0.009512,49168290,Polygon
2019-05-16,0.009549,0.01197,0.008346,0.010909,0.010909,59175168,Polygon
2019-05-17,0.010863,0.015077,0.009329,0.014353,0.014353,168390964,Polygon
2019-05-18,0.014353,0.014799,0.012092,0.012293,0.012293,56628223,Polygon
2019-05-19,0.01232,0.020749,0.012309,0.020231,0.020231,141440073,Polygon
2019-05-20,0.020231,0.032911,0.019292,0.029343,0.029343,396597433,Polygon
2019-05-21,0.029349,0.045017,0.025149,0.029454,0.029454,698132268,Polygon
2019-05-22,0.029454,0.031612,0.020417,0.022186,0.022186,266364855,Polygon
2019-05-23,0.022186,0.033811,0.021874,0.027273,0.027273,419427516,Polygon
2019-05-24,0.027429,0.028596,0.022959,0.025363,0.025363,150950422,Polygon
2019-05-25,0.025363,0.028343,0.023134,0.025002,0.025002,148137222,Polygon
2019-05-26,0.024888,0.027305,0.023041,0.024399,0.024399,95970365,Polygon
2019-05-27,0.024386,0.024906,0.020935,0.022173,0.022173,81723337,Polygon
2019-05-28,0.022252,0.025102,0.021033,0.023642,0.023642,93128408,Polygon
2019-05-29,0.023642,0.024821,0.022103,0.022108,0.022108,56456075,Polygon
2019-05-30,0.022108,0.023276,0.018683,0.019793,0.019793,53390395,Polygon
2019-05-31,0.019793,0.022962,0.019465,0.022288,0.022288,58953725,Polygon
2019-06-01,0.0222,0.022875,0.020689,0.021059,0.021059,56083345,Polygon
2019-06-02,0.021059,0.022192,0.019685,0.020114,0.020114,34962106,Polygon
2019-06-03,0.020114,0.020953,0.018844,0.019113,0.019113,32081991,Polygon
2019-06-04,0.019168,0.02184,0.018027,0.021228,0.021228,74180051,Polygon
2019-06-05,0.021307,0.023483,0.01969,0.022862,0.022862,97965656,Polygon
2019-06-06,0.022839,0.025107,0.021726,0.023727,0.023727,97713487,Polygon
2019-06-07,0.023677,0.024918,0.022488,0.024509,0.024509,44071890,Polygon
2019-06-08,0.024413,0.026591,0.023443,0.025906,0.025906,64435870,Polygon
2019-06-09,0.025876,0.027584,0.024618,0.025499,0.025499,73046408,Polygon
2019-06-10,0.025467,0.027473,0.02398,0.026975,0.026975,60877107,Polygon
2019-06-11,0.026987,0.027137,0.023534,0.023764,0.023764,51200991,Polygon
2019-06-12,0.023812,0.025272,0.023004,0.023217,0.023217,52476410,Polygon
2019-06-13,0.022943,0.02467,0.022237,0.023107,0.023107,63319867,Polygon
2019-06-14,0.023182,0.023315,0.019323,0.020646,0.020646,49012105,Polygon
2019-06-15,0.020686,0.023037,0.020674,0.021899,0.021899,45335051,Polygon
2019-06-16,0.021899,0.022809,0.020721,0.022716,0.022716,44493232,Polygon
2019-06-17,0.022647,0.023902,0.021335,0.021751,0.021751,43265637,Polygon
2019-06-18,0.021767,0.022896,0.02131,0.022449,0.022449,41126019,Polygon
2019-06-19,0.022462,0.024387,0.022406,0.023088,0.023088,58808815,Polygon
2019-06-20,0.023054,0.023796,0.021696,0.022446,0.022446,39914360,Polygon
2019-06-21,0.022445,0.023379,0.020748,0.021226,0.021226,46822448,Polygon
2019-06-22,0.02117,0.022702,0.020504,0.021843,0.021843,68831297,Polygon
2019-06-23,0.021839,0.022306,0.020654,0.020988,0.020988,42043311,Polygon
2019-06-24,0.020988,0.02155,0.020306,0.020663,0.020663,22890825,Polygon
2019-06-25,0.020664,0.020685,0.01901,0.019054,0.019054,33004361,Polygon
2019-06-26,0.019054,0.019398,0.016284,0.017804,0.017804,70915691,Polygon
2019-06-27,0.017804,0.021227,0.017122,0.019182,0.019182,80337036,Polygon
2019-06-28,0.01928,0.021016,0.01898,0.019167,0.019167,58142031,Polygon
2019-06-29,0.019159,0.026105,0.019159,0.0238,0.0238,108612074,Polygon
2019-06-30,0.023872,0.026778,0.021955,0.021971,0.021971,76878554,Polygon
2019-07-01,0.021971,0.022995,0.02013,0.022157,0.022157,43065137,Polygon
2019-07-02,0.022229,0.022486,0.019527,0.019999,0.019999,38477391,Polygon
2019-07-03,0.020004,0.020432,0.018653,0.019224,0.019224,45216122,Polygon
2019-07-04,0.019331,0.019356,0.017127,0.018063,0.018063,32887710,Polygon
2019-07-05,0.018092,0.019524,0.017613,0.018169,0.018169,27367853,Polygon
2019-07-06,0.018117,0.018284,0.01746,0.017607,0.017607,12982909,Polygon
2019-07-07,0.017606,0.018279,0.017267,0.017666,0.017666,14631473,Polygon
2019-07-08,0.017642,0.017743,0.016522,0.016731,0.016731,19055091,Polygon
2019-07-09,0.016721,0.01714,0.015425,0.016236,0.016236,26887304,Polygon
2019-07-10,0.016222,0.017318,0.014942,0.016145,0.016145,40939360,Polygon
2019-07-11,0.016144,0.016895,0.014307,0.014458,0.014458,26411733,Polygon
2019-07-12,0.014439,0.016535,0.014135,0.015818,0.015818,23337869,Polygon
2019-07-13,0.015838,0.017716,0.015351,0.016606,0.016606,33073356,Polygon
2019-07-14,0.016611,0.017433,0.014261,0.014314,0.014314,21016195,Polygon
2019-07-15,0.014308,0.014371,0.012954,0.013841,0.013841,16709138,Polygon
2019-07-16,0.013866,0.014599,0.011848,0.012038,0.012038,19887283,Polygon
2019-07-17,0.011983,0.014008,0.011671,0.013208,0.013208,24020397,Polygon
2019-07-18,0.013239,0.014212,0.012566,0.013706,0.013706,21329202,Polygon
2019-07-19,0.013706,0.013906,0.013303,0.013425,0.013425,10390623,Polygon
2019-07-20,0.013456,0.014511,0.013264,0.013972,0.013972,10575845,Polygon
2019-07-21,0.013972,0.014152,0.013188,0.01343,0.01343,6444981,Polygon
2019-07-22,0.013448,0.013599,0.012418,0.01275,0.01275,8394913,Polygon
2019-07-23,0.012749,0.012827,0.011466,0.0115,0.0115,8395360,Polygon
2019-07-24,0.0115,0.012436,0.011149,0.01204,0.01204,11904753,Polygon
2019-07-25,0.012039,0.012699,0.011986,0.012224,0.012224,8164945,Polygon
2019-07-26,0.012219,0.013003,0.011956,0.012782,0.012782,8278632,Polygon
2019-07-27,0.012782,0.013282,0.011789,0.011952,0.011952,7502170,Polygon
2019-07-28,0.011952,0.012103,0.011359,0.01177,0.01177,5576468,Polygon
2019-07-29,0.01179,0.011963,0.011366,0.01142,0.01142,4555621,Polygon
2019-07-30,0.011418,0.011674,0.011073,0.011529,0.011529,4426136,Polygon
2019-07-31,0.011541,0.011658,0.011205,0.011374,0.011374,7321732,Polygon
2019-08-01,0.011393,0.011558,0.010548,0.010698,0.010698,9019119,Polygon
2019-08-02,0.010714,0.011556,0.010591,0.011059,0.011059,8844761,Polygon
2019-08-03,0.011095,0.011428,0.010644,0.010687,0.010687,6818569,Polygon
2019-08-04,0.010667,0.010897,0.010189,0.01027,0.01027,6561381,Polygon
2019-08-05,0.010264,0.01293,0.009623,0.011793,0.011793,32570145,Polygon
2019-08-06,0.011797,0.017231,0.011743,0.015359,0.015359,94413278,Polygon
2019-08-07,0.015281,0.020434,0.015276,0.016646,0.016646,128166070,Polygon
2019-08-08,0.016646,0.017621,0.014154,0.014384,0.014384,54798154,Polygon
2019-08-09,0.01438,0.014615,0.012146,0.012197,0.012197,32420954,Polygon
2019-08-10,0.012197,0.015459,0.012155,0.014935,0.014935,43594995,Polygon
2019-08-11,0.015012,0.018506,0.014054,0.016393,0.016393,79142233,Polygon
2019-08-12,0.016083,0.018228,0.015849,0.016918,0.016918,66203778,Polygon
2019-08-13,0.016911,0.017171,0.015033,0.016506,0.016506,47190665,Polygon
2019-08-14,0.016564,0.017248,0.014572,0.014685,0.014685,49542470,Polygon
2019-08-15,0.014685,0.015604,0.014459,0.014612,0.014612,26041679,Polygon
2019-08-16,0.014627,0.014695,0.013332,0.013379,0.013379,24612386,Polygon
2019-08-17,0.013365,0.014735,0.013318,0.014149,0.014149,20551411,Polygon
2019-08-18,0.01416,0.014536,0.0137,0.01392,0.01392,17243102,Polygon
2019-08-19,0.013919,0.015923,0.01385,0.015466,0.015466,32643667,Polygon
2019-08-20,0.015466,0.015946,0.014879,0.015729,0.015729,21916010,Polygon
2019-08-21,0.015758,0.015975,0.014504,0.015378,0.015378,27697604,Polygon
2019-08-22,0.015414,0.017106,0.014685,0.016794,0.016794,35758850,Polygon
2019-08-23,0.016794,0.017379,0.015039,0.015466,0.015466,33611390,Polygon
2019-08-24,0.015382,0.01545,0.014234,0.014857,0.014857,23563142,Polygon
2019-08-25,0.014857,0.014991,0.013605,0.013753,0.013753,11879747,Polygon
2019-08-26,0.013755,0.014659,0.01373,0.013932,0.013932,12729475,Polygon
2019-08-27,0.013938,0.014896,0.013818,0.014233,0.014233,15729404,Polygon
2019-08-28,0.01423,0.014595,0.012819,0.012946,0.012946,11354480,Polygon
2019-08-29,0.012942,0.012942,0.011518,0.011709,0.011709,10299747,Polygon
2019-08-30,0.011709,0.012402,0.011644,0.012297,0.012297,7262767,Polygon
2019-08-31,0.012271,0.012332,0.01156,0.011846,0.011846,5199033,Polygon
2019-09-01,0.011847,0.012316,0.011542,0.01223,0.01223,5927052,Polygon
2019-09-02,0.01223,0.013933,0.012096,0.013715,0.013715,19996078,Polygon
2019-09-03,0.013719,0.014863,0.01282,0.014363,0.014363,23523419,Polygon
2019-09-04,0.014349,0.014593,0.013838,0.014151,0.014151,14096514,Polygon
2019-09-05,0.014151,0.01512,0.014069,0.014845,0.014845,20025744,Polygon
2019-09-06,0.014845,0.014954,0.013477,0.013653,0.013653,19749824,Polygon
2019-09-07,0.013658,0.014077,0.013519,0.013903,0.013903,8502525,Polygon
2019-09-08,0.013903,0.01408,0.013769,0.013927,0.013927,5783114,Polygon
2019-09-09,0.013927,0.01458,0.013087,0.014159,0.014159,18212502,Polygon
2019-09-10,0.014158,0.014394,0.013375,0.013537,0.013537,8863134,Polygon
2019-09-11,0.01354,0.013764,0.012965,0.013115,0.013115,7845468,Polygon
2019-09-12,0.013117,0.013159,0.012527,0.012978,0.012978,6894707,Polygon
2019-09-13,0.012975,0.013233,0.012801,0.012964,0.012964,5139868,Polygon
2019-09-14,0.012935,0.013425,0.012921,0.013105,0.013105,5948858,Polygon
2019-09-15,0.013108,0.013287,0.012883,0.012913,0.012913,5247758,Polygon
2019-09-16,0.012921,0.013101,0.012624,0.012904,0.012904,6578565,Polygon
2019-09-17,0.012907,0.013798,0.012815,0.013507,0.013507,9213683,Polygon
2019-09-18,0.013534,0.014757,0.013416,0.014356,0.014356,24002725,Polygon
2019-09-19,0.014356,0.014478,0.013045,0.0137,0.0137,15896005,Polygon
2019-09-20,0.013745,0.013881,0.013502,0.013663,0.013663,6910674,Polygon
2019-09-21,0.01368,0.013736,0.013294,0.013394,0.013394,5458984,Polygon
2019-09-22,0.013394,0.013426,0.012293,0.012559,0.012559,7384801,Polygon
2019-09-23,0.012591,0.012947,0.012252,0.012252,0.012252,6315785,Polygon
2019-09-24,0.012249,0.013173,0.011017,0.011077,0.011077,20584978,Polygon
2019-09-25,0.011061,0.011481,0.010551,0.011041,0.011041,12413144,Polygon
2019-09-26,0.011038,0.011475,0.010311,0.010662,0.010662,9326463,Polygon
2019-09-27,0.01064,0.011051,0.010395,0.010952,0.010952,7172982,Polygon
2019-09-28,0.010953,0.01144,0.010837,0.011246,0.011246,8959700,Polygon
2019-09-29,0.011257,0.011331,0.010708,0.010939,0.010939,6387878,Polygon
2019-09-30,0.010939,0.011021,0.010187,0.010847,0.010847,11873811,Polygon
2019-10-01,0.010851,0.011075,0.010631,0.010731,0.010731,6775295,Polygon
2019-10-02,0.010731,0.010921,0.01059,0.010853,0.010853,5265448,Polygon
