Date,Open,High,Low,Close,Adj_Close,Volume,Coin_name
2020-08-02,0,0,0,0,0,193098,Shiba_Inu
2020-08-03,0,0,0,0,0,129225,Shiba_Inu
2020-08-04,0,0,0,0,0,19717,Shiba_Inu
2020-08-05,0,0,0,0,0,26869,Shiba_Inu
2020-08-06,0,0,0,0,0,8708,Shiba_Inu
2020-08-07,0,0,0,0,0,17529,Shiba_Inu
2020-08-08,0,0,0,0,0,13773,Shiba_Inu
2020-08-09,0,0,0,0,0,5190,Shiba_Inu
2020-08-10,0,0,0,0,0,6105,Shiba_Inu
2020-08-11,0,0,0,0,0,2896,Shiba_Inu
2020-08-12,0,0,0,0,0,1868,Shiba_Inu
2020-08-13,0,0,0,0,0,1723,Shiba_Inu
2020-08-14,0,0,0,0,0,3567,Shiba_Inu
2020-08-15,0,0,0,0,0,1479,Shiba_Inu
2020-08-16,0,0,0,0,0,506,Shiba_Inu
2020-08-17,0,0,0,0,0,543,Shiba_Inu
2020-08-18,0,0,0,0,0,153,Shiba_Inu
2020-08-19,0,0,0,0,0,3411,Shiba_Inu
2020-08-20,0,0,0,0,0,2058,Shiba_Inu
2020-08-21,0,0,0,0,0,4894,Shiba_Inu
2020-08-22,0,0,0,0,0,8019,Shiba_Inu
2020-08-23,0,0,0,0,0,763,Shiba_Inu
2020-08-24,0,0,0,0,0,32,Shiba_Inu
2020-08-25,0,0,0,0,0,377,Shiba_Inu
2020-08-26,0,0,0,0,0,595,Shiba_Inu
2020-08-27,0,0,0,0,0,2404,Shiba_Inu
2020-08-28,0,0,0,0,0,7426,Shiba_Inu
2020-08-29,0,0,0,0,0,4191,Shiba_Inu
2020-08-30,0,0,0,0,0,40609,Shiba_Inu
2020-08-31,0,0,0,0,0,6653,Shiba_Inu
2020-09-01,0,0,0,0,0,16378,Shiba_Inu
2020-09-02,0,0,0,0,0,61769,Shiba_Inu
2020-09-03,0,0,0,0,0,70619,Shiba_Inu
2020-09-04,0,0,0,0,0,36623,Shiba_Inu
2020-09-05,0,0,0,0,0,12080,Shiba_Inu
2020-09-06,0,0,0,0,0,15529,Shiba_Inu
2020-09-07,0,0,0,0,0,5673,Shiba_Inu
2020-09-08,0,0,0,0,0,4343,Shiba_Inu
2020-09-09,0,0,0,0,0,2993,Shiba_Inu
2020-09-10,0,0,0,0,0,656,Shiba_Inu
2020-09-11,0,0,0,0,0,79,Shiba_Inu
2020-09-12,0,0,0,0,0,728,Shiba_Inu
2020-09-13,0,0,0,0,0,697,Shiba_Inu
2020-09-14,0,0,0,0,0,883,Shiba_Inu
2020-09-15,0,0,0,0,0,429,Shiba_Inu
2020-09-16,0,0,0,0,0,101,Shiba_Inu
2020-09-17,0,0,0,0,0,1301,Shiba_Inu
2020-09-18,0,0,0,0,0,290,Shiba_Inu
2020-09-19,0,0,0,0,0,3568,Shiba_Inu
2020-09-20,0,0,0,0,0,2796,Shiba_Inu
2020-09-21,0,0,0,0,0,1881,Shiba_Inu
2020-09-22,0,0,0,0,0,468,Shiba_Inu
2020-09-23,0,0,0,0,0,505,Shiba_Inu
2020-09-24,0,0,0,0,0,172,Shiba_Inu
2020-09-25,0,0,0,0,0,206,Shiba_Inu
2020-09-26,0,0,0,0,0,249,Shiba_Inu
2020-09-27,0,0,0,0,0,2378,Shiba_Inu
2020-09-28,0,0,0,0,0,640,Shiba_Inu
2020-09-29,0,0,0,0,0,250,Shiba_Inu
2020-09-30,0,0,0,0,0,512,Shiba_Inu
2020-10-01,0,0,0,0,0,305,Shiba_Inu
2020-10-02,0,0,0,0,0,8948,Shiba_Inu
2020-10-03,0,0,0,0,0,9065,Shiba_Inu
2020-10-04,0,0,0,0,0,9203,Shiba_Inu
2020-10-05,0,0,0,0,0,2628,Shiba_Inu
2020-10-06,0,0,0,0,0,3932,Shiba_Inu
2020-10-07,0,0,0,0,0,5086,Shiba_Inu
2020-10-08,0,0,0,0,0,748,Shiba_Inu
2020-10-09,0,0,0,0,0,1197,Shiba_Inu
2020-10-10,0,0,0,0,0,304,Shiba_Inu
2020-10-11,0,0,0,0,0,10,Shiba_Inu
2020-10-12,0,0,0,0,0,109,Shiba_Inu
2020-10-13,0,0,0,0,0,1214,Shiba_Inu
2020-10-14,0,0,0,0,0,53,Shiba_Inu
2020-10-15,0,0,0,0,0,25,Shiba_Inu
2020-10-16,0,0,0,0,0,179,Shiba_Inu
2020-10-17,0,0,0,0,0,45,Shiba_Inu
2020-10-18,0,0,0,0,0,4,Shiba_Inu
2020-10-19,0,0,0,0,0,58,Shiba_Inu
2020-10-20,0,0,0,0,0,514,Shiba_Inu
2020-10-21,0,0,0,0,0,534,Shiba_Inu
2020-10-22,0,0,0,0,0,28,Shiba_Inu
2020-10-23,0,0,0,0,0,0,Shiba_Inu
2020-10-24,0,0,0,0,0,0,Shiba_Inu
2020-10-25,0,0,0,0,0,0,Shiba_Inu
2020-10-26,0,0,0,0,0,0,Shiba_Inu
2020-10-27,0,0,0,0,0,0,Shiba_Inu
2020-10-28,0,0,0,0,0,460,Shiba_Inu
2020-10-29,0,0,0,0,0,13,Shiba_Inu
2020-10-30,0,0,0,0,0,84,Shiba_Inu
2020-10-31,0,0,0,0,0,171,Shiba_Inu
2020-11-01,0,0,0,0,0,1,Shiba_Inu
2020-11-02,0,0,0,0,0,662,Shiba_Inu
2020-11-03,0,0,0,0,0,429,Shiba_Inu
2020-11-04,0,0,0,0,0,36,Shiba_Inu
2020-11-05,0,0,0,0,0,199,Shiba_Inu
2020-11-06,0,0,0,0,0,11,Shiba_Inu
2020-11-07,0,0,0,0,0,0,Shiba_Inu
2020-11-08,0,0,0,0,0,0,Shiba_Inu
2020-11-09,0,0,0,0,0,62,Shiba_Inu
2020-11-10,0,0,0,0,0,0,Shiba_Inu
2020-11-11,0,0,0,0,0,0,Shiba_Inu
2020-11-12,0,0,0,0,0,1374,Shiba_Inu
2020-11-13,0,0,0,0,0,713,Shiba_Inu
2020-11-14,0,0,0,0,0,136,Shiba_Inu
2020-11-15,0,0,0,0,0,10,Shiba_Inu
2020-11-16,0,0,0,0,0,36,Shiba_Inu
2020-11-17,0,0,0,0,0,9,Shiba_Inu
2020-11-18,0,0,0,0,0,9,Shiba_Inu
2020-11-19,0,0,0,0,0,2,Shiba_Inu
2020-11-20,0,0,0,0,0,158,Shiba_Inu
2020-11-21,0,0,0,0,0,60,Shiba_Inu
2020-11-22,0,0,0,0,0,83,Shiba_Inu
2020-11-23,0,0,0,0,0,0,Shiba_Inu
2020-11-24,0,0,0,0,0,0,Shiba_Inu
2020-11-25,0,0,0,0,0,0,Shiba_Inu
2020-11-26,0,0,0,0,0,0,Shiba_Inu
2020-11-27,0,0,0,0,0,9,Shiba_Inu
2020-11-28,0,0,0,0,0,1380,Shiba_Inu
2020-11-29,0,0,0,0,0,8,Shiba_Inu
2020-11-30,0,0,0,0,0,154,Shiba_Inu
2020-12-01,0,0,0,0,0,0,Shiba_Inu
2020-12-02,0,0,0,0,0,0,Shiba_Inu
2020-12-03,0,0,0,0,0,0,Shiba_Inu
2020-12-04,0,0,0,0,0,36,Shiba_Inu
2020-12-05,0,0,0,0,0,12,Shiba_Inu
2020-12-06,0,0,0,0,0,6,Shiba_Inu
2020-12-07,0,0,0,0,0,0,Shiba_Inu
2020-12-08,0,0,0,0,0,20,Shiba_Inu
2020-12-09,0,0,0,0,0,0,Shiba_Inu
2020-12-10,0,0,0,0,0,0,Shiba_Inu
2020-12-11,0,0,0,0,0,71,Shiba_Inu
2020-12-12,0,0,0,0,0,6,Shiba_Inu
2020-12-13,0,0,0,0,0,21,Shiba_Inu
2020-12-14,0,0,0,0,0,346,Shiba_Inu
2020-12-15,0,0,0,0,0,0,Shiba_Inu
2020-12-16,0,0,0,0,0,0,Shiba_Inu
2020-12-17,0,0,0,0,0,0,Shiba_Inu
2020-12-18,0,0,0,0,0,0,Shiba_Inu
2020-12-19,0,0,0,0,0,13,Shiba_Inu
2020-12-20,0,0,0,0,0,3,Shiba_Inu
2020-12-21,0,0,0,0,0,0,Shiba_Inu
2020-12-22,0,0,0,0,0,0,Shiba_Inu
2020-12-23,0,0,0,0,0,0,Shiba_Inu
2020-12-24,0,0,0,0,0,0,Shiba_Inu
2020-12-25,0,0,0,0,0,0,Shiba_Inu
2020-12-26,0,0,0,0,0,9,Shiba_Inu
2020-12-27,0,0,0,0,0,213,Shiba_Inu
2020-12-28,0,0,0,0,0,0,Shiba_Inu
2020-12-29,0,0,0,0,0,119,Shiba_Inu
2020-12-30,0,0,0,0,0,0,Shiba_Inu
2020-12-31,0,0,0,0,0,0,Shiba_Inu
2021-01-01,0,0,0,0,0,0,Shiba_Inu
2021-01-02,0,0,0,0,0,78,Shiba_Inu
2021-01-03,0,0,0,0,0,2,Shiba_Inu
2021-01-04,0,0,0,0,0,0,Shiba_Inu
2021-01-05,0,0,0,0,0,18,Shiba_Inu
2021-01-06,0,0,0,0,0,0,Shiba_Inu
2021-01-07,0,0,0,0,0,0,Shiba_Inu
2021-01-08,0,0,0,0,0,0,Shiba_Inu
2021-01-09,0,0,0,0,0,201,Shiba_Inu
2021-01-10,0,0,0,0,0,202,Shiba_Inu
2021-01-11,0,0,0,0,0,66,Shiba_Inu
2021-01-12,0,0,0,0,0,125,Shiba_Inu
2021-01-13,0,0,0,0,0,0,Shiba_Inu
2021-01-14,0,0,0,0,0,619,Shiba_Inu
2021-01-15,0,0,0,0,0,623,Shiba_Inu
2021-01-16,0,0,0,0,0,1226,Shiba_Inu
2021-01-17,0,0,0,0,0,48,Shiba_Inu
2021-01-18,0,0,0,0,0,45,Shiba_Inu
2021-01-19,0,0,0,0,0,8,Shiba_Inu
2021-01-20,0,0,0,0,0,0,Shiba_Inu
2021-01-21,0,0,0,0,0,0,Shiba_Inu
2021-01-22,0,0,0,0,0,52,Shiba_Inu
2021-01-23,0,0,0,0,0,0,Shiba_Inu
2021-01-24,0,0,0,0,0,0,Shiba_Inu
2021-01-25,0,0,0,0,0,473,Shiba_Inu
2021-01-26,0,0,0,0,0,132,Shiba_Inu
2021-01-27,0,0,0,0,0,38,Shiba_Inu
2021-01-28,0,0,0,0,0,13,Shiba_Inu
2021-01-29,0,0,0,0,0,523,Shiba_Inu
2021-01-30,0,0,0,0,0,5708932,Shiba_Inu
2021-01-31,0,0,0,0,0,23921741,Shiba_Inu
2021-02-01,0,0,0,0,0,18665191,Shiba_Inu
2021-02-02,0,0,0,0,0,5559512,Shiba_Inu
2021-02-03,0,0,0,0,0,2682178,Shiba_Inu
2021-02-04,0,0,0,0,0,1804078,Shiba_Inu
2021-02-05,0,0,0,0,0,1298642,Shiba_Inu
2021-02-06,0,0,0,0,0,595379,Shiba_Inu
2021-02-07,0,0,0,0,0,1325910,Shiba_Inu
2021-02-08,0,0,0,0,0,6113372,Shiba_Inu
2021-02-09,0,0,0,0,0,1143430,Shiba_Inu
2021-02-10,0,0,0,0,0,933735,Shiba_Inu
2021-02-11,0,0,0,0,0,560752,Shiba_Inu
